id;title;content;shared;date;created_date;modified_date
1;invoice infomediaries;../fake-data/blob/hipster.txt;true;2020-04-26;2020-04-26T08:24:43;2020-04-26T18:21:17
2;Universal hub;../fake-data/blob/hipster.txt;true;2020-04-26;2020-04-26T12:15:43;2020-04-26T11:37:28
3;Soft Operations neural;../fake-data/blob/hipster.txt;true;2020-04-26;2020-04-26T11:08:07;2020-04-26T06:09:01
4;hacking Afghani;../fake-data/blob/hipster.txt;true;2020-04-26;2020-04-25T22:21:12;2020-04-26T05:51:42
5;optical Chicken Intelligent Cotton Car;../fake-data/blob/hipster.txt;false;2020-04-26;2020-04-26T17:03:35;2020-04-26T03:18:06
6;program black;../fake-data/blob/hipster.txt;false;2020-04-26;2020-04-26T16:17:25;2020-04-26T04:07:21
7;CSS white orchid;../fake-data/blob/hipster.txt;true;2020-04-25;2020-04-26T14:24:22;2020-04-26T08:38:19
8;payment sensor maximize;../fake-data/blob/hipster.txt;true;2020-04-25;2020-04-26T07:56:23;2020-04-26T05:31:11
9;Cheese;../fake-data/blob/hipster.txt;false;2020-04-25;2020-04-26T17:37:56;2020-04-26T18:33:10
10;Tools adapter bi-directional;../fake-data/blob/hipster.txt;true;2020-04-25;2020-04-26T13:49:32;2020-04-26T19:58:55
