id;title;content;content_content_type;shared;created_date;modified_date
1;bypass open-source;../fake-data/blob/hipster.png;image/png;true;2020-04-26T09:04:39;2020-04-26T03:30:23
2;Minnesota Avon Computers;../fake-data/blob/hipster.png;image/png;true;2020-04-26T07:16:58;2020-04-26T07:53:31
3;Buckinghamshire;../fake-data/blob/hipster.png;image/png;false;2020-04-26T15:15:23;2020-04-26T17:57:53
4;panel;../fake-data/blob/hipster.png;image/png;false;2020-04-25T21:16:21;2020-04-26T20:04:47
5;Oman;../fake-data/blob/hipster.png;image/png;true;2020-04-26T17:53:34;2020-04-26T07:56:39
6;haptic cyan Intranet;../fake-data/blob/hipster.png;image/png;false;2020-04-26T02:10:58;2020-04-26T14:39:38
7;Run;../fake-data/blob/hipster.png;image/png;false;2020-04-26T02:20:43;2020-04-26T07:33:05
8;Georgia;../fake-data/blob/hipster.png;image/png;true;2020-04-26T01:11:01;2020-04-26T05:24:14
9;Automotive Unbranded;../fake-data/blob/hipster.png;image/png;false;2020-04-26T07:13:21;2020-04-26T05:52:22
10;teal front-end;../fake-data/blob/hipster.png;image/png;true;2020-04-26T07:52:29;2020-04-26T05:15:27
